                                     | Core 0     | Core 1    
  Instructions                       |    9498722 |    9369689
  Cycles                             |    7012198 |    7012198
  IPC                                |       1.35 |       1.34
  Time (ns)                          |    2636165 |    2636165
  Idle time (ns)                     |      97785 |     116871
  Idle time (%)                      |       3.7% |       4.4%
Branch predictor stats               |            |           
  num correct                        |    1731871 |    1706063
  num incorrect                      |        280 |        288
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3470294 |    3418701
    num cache misses                 |         16 |         18
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    5821460 |    5744055
    num cache misses                 |       3169 |       3287
    miss rate                        |      0.05% |      0.06%
    mpki                             |       0.33 |       0.35
  Cache L2                           |            |           
    num cache accesses               |       3307 |       3307
    num cache misses                 |         21 |         14
    miss rate                        |      0.64% |      0.42%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         23 |         16
    num cache misses                 |         21 |         14
    miss rate                        |     91.30% |     87.50%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      99.70 |        inf
  average dram queueing delay        |      46.27 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
