                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     233079 |     185750 |     215020 |     170250 |     259371 |     220828 |     247050 |     276191 |     247085 |     224610 |     259845 |     261839 |     216725 |     252101 |     233280 |     236050
  Cycles                             |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862 |    1738862
  IPC                                |       0.13 |       0.11 |       0.12 |       0.10 |       0.15 |       0.13 |       0.14 |       0.16 |       0.14 |       0.13 |       0.15 |       0.15 |       0.12 |       0.14 |       0.13 |       0.14
  Time (ns)                          |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708 |     653708
  Idle time (ns)                     |     128080 |     288948 |     203161 |     312998 |     111357 |     197435 |     125191 |     102458 |     105316 |     188278 |     102047 |     100963 |     188539 |     102307 |     157772 |     148012
  Idle time (%)                      |      19.6% |      44.2% |      31.1% |      47.9% |      17.0% |      30.2% |      19.2% |      15.7% |      16.1% |      28.8% |      15.6% |      15.4% |      28.8% |      15.7% |      24.1% |      22.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      37336 |      27843 |      33723 |      24732 |      42583 |      34878 |      40129 |      45956 |      40137 |      35617 |      42678 |      43085 |      34052 |      41130 |      37359 |      37925
  num incorrect                      |         87 |        116 |         90 |        127 |        100 |         96 |         90 |         91 |         89 |        114 |        100 |         91 |        102 |         99 |        106 |         94
  misprediction rate                 |      0.23% |      0.41% |      0.27% |      0.51% |      0.23% |      0.27% |      0.22% |      0.20% |      0.22% |      0.32% |      0.23% |      0.21% |      0.30% |      0.24% |      0.28% |      0.25%
  mpki                               |       0.37 |       0.62 |       0.42 |       0.75 |       0.39 |       0.43 |       0.36 |       0.33 |       0.36 |       0.51 |       0.38 |       0.35 |       0.47 |       0.39 |       0.45 |       0.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      80841 |      61912 |      73620 |      55712 |      91360 |      75948 |      86432 |      98088 |      86446 |      77456 |      91550 |      92343 |      74302 |      88452 |      80924 |      82032
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.02% |      0.03% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.10 |       0.08 |       0.11 |       0.07 |       0.08 |       0.07 |       0.07 |       0.07 |       0.08 |       0.07 |       0.07 |       0.08 |       0.07 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     143275 |     114876 |     132438 |     105576 |     159048 |     135927 |     151656 |     169140 |     151677 |     138192 |     159333 |     160528 |     133461 |     154686 |     143394 |     145056
    num cache misses                 |      12070 |       8044 |       9645 |       7424 |      11384 |       9799 |      10989 |      11146 |      12709 |      10390 |      11914 |      11895 |      10054 |      11512 |      10428 |      10494
    miss rate                        |      8.42% |      7.00% |      7.28% |      7.03% |      7.16% |      7.21% |      7.25% |      6.59% |      8.38% |      7.52% |      7.48% |      7.41% |      7.53% |      7.44% |      7.27% |      7.23%
    mpki                             |      51.79 |      43.31 |      44.86 |      43.61 |      43.89 |      44.37 |      44.48 |      40.36 |      51.44 |      46.26 |      45.85 |      45.43 |      46.39 |      45.66 |      44.70 |      44.46
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12181 |       8128 |       9738 |       7528 |      11467 |       9870 |      11064 |      11217 |      12798 |      10480 |      12032 |      11970 |      10134 |      11598 |      10500 |      10612
    num cache misses                 |      12087 |       8062 |       9663 |       7442 |      11402 |       9817 |      11007 |      11164 |      12727 |      10408 |      11932 |      11913 |      10072 |      11530 |      10446 |      10512
    miss rate                        |     99.23% |     99.19% |     99.23% |     98.86% |     99.43% |     99.46% |     99.48% |     99.53% |     99.45% |     99.31% |     99.17% |     99.52% |     99.39% |     99.41% |     99.49% |     99.06%
    mpki                             |      51.86 |      43.40 |      44.94 |      43.71 |      43.96 |      44.46 |      44.55 |      40.42 |      51.51 |      46.34 |      45.92 |      45.50 |      46.47 |      45.74 |      44.78 |      44.53
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12181 |       8128 |       9738 |       7528 |      11467 |       9870 |      11064 |      11217 |      12798 |      10480 |      12032 |      11970 |      10134 |      11598 |      10500 |      10612
    num cache misses                 |       6523 |       4277 |       5344 |       4175 |       6481 |       5413 |       6303 |       6798 |       6388 |       5306 |       6211 |       6220 |       5464 |       6322 |       5768 |       5903
    miss rate                        |     53.55% |     52.62% |     54.88% |     55.46% |     56.52% |     54.84% |     56.97% |     60.60% |     49.91% |     50.63% |     51.62% |     51.96% |     53.92% |     54.51% |     54.93% |     55.63%
    mpki                             |      27.99 |      23.03 |      24.85 |      24.52 |      24.99 |      24.51 |      25.51 |      24.61 |      25.85 |      23.62 |      23.90 |      23.76 |      25.21 |      25.08 |      24.73 |      25.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         73 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     171.31 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     117.88 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          3 |          2 |          2 |          2 |          2 |          6 |          4 |          3 |          3 |          2 |          2 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4317 |       2993 |       3767 |       2925 |       4587 |       3932 |       4498 |       4815 |       4311 |       3718 |       4521 |       4528 |       3948 |       4666 |       4296 |       4372
