                                     | Core 0    
  Instructions                       |    1358037
  Cycles                             |    3716418
  IPC                                |       0.37
  Time (ns)                          |    1397150
  Idle time (ns)                     |      94789
  Idle time (%)                      |       6.8%
Branch predictor stats               |           
  num correct                        |     104005
  num incorrect                      |          9
  misprediction rate                 |      0.01%
  mpki                               |       0.01
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     211021
    num cache misses                 |         16
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |     936049
    num cache misses                 |          9
    miss rate                        |      0.00%
    mpki                             |       0.01
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.02
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.02
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     131.55
  average dram queueing delay        |      78.12
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
