                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     706299 |     685509 |     779576 |     815198 |     645504 |     772866 |     825344 |     636434
  Cycles                             |     841625 |     841625 |     841625 |     841625 |     841625 |     841625 |     841625 |     841625
  IPC                                |       0.84 |       0.81 |       0.93 |       0.97 |       0.77 |       0.92 |       0.98 |       0.76
  Time (ns)                          |     316401 |     316401 |     316401 |     316401 |     316401 |     316401 |     316401 |     316401
  Idle time (ns)                     |     103637 |     123368 |      99066 |     100829 |     123655 |     108626 |      98330 |     150437
  Idle time (%)                      |      32.8% |      39.0% |      31.3% |      31.9% |      39.1% |      34.3% |      31.1% |      47.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     163540 |     158344 |     181834 |     190792 |     148345 |     180227 |     193361 |     146178
  num incorrect                      |        283 |        281 |        312 |        262 |        287 |        242 |        223 |        189
  misprediction rate                 |      0.17% |      0.18% |      0.17% |      0.14% |      0.19% |      0.13% |      0.12% |      0.13%
  mpki                               |       0.40 |       0.41 |       0.40 |       0.32 |       0.44 |       0.31 |       0.27 |       0.30
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     330622 |     320223 |     367254 |     385077 |     300238 |     363907 |     390126 |     295727
    num cache misses                 |         17 |         17 |         16 |         16 |         16 |         17 |         16 |         17
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     362676 |     352286 |     399320 |     417133 |     332286 |     395966 |     422201 |     327756
    num cache misses                 |       5807 |       5086 |       5921 |       5717 |       4581 |       4931 |       4999 |       3764
    miss rate                        |      1.60% |      1.44% |      1.48% |      1.37% |      1.38% |      1.25% |      1.18% |      1.15%
    mpki                             |       8.22 |       7.42 |       7.60 |       7.01 |       7.10 |       6.38 |       6.06 |       5.91
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6869 |       5929 |       6715 |       6584 |       5468 |       5767 |       5721 |       4544
    num cache misses                 |       1726 |       1291 |       1405 |       1121 |       1459 |       1328 |       1361 |        930
    miss rate                        |     25.13% |     21.77% |     20.92% |     17.03% |     26.68% |     23.03% |     23.79% |     20.47%
    mpki                             |       2.44 |       1.88 |       1.80 |       1.38 |       2.26 |       1.72 |       1.65 |       1.46
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2316 |       1695 |       1871 |       1612 |       2281 |       1833 |       1950 |       1432
    num cache misses                 |         23 |          5 |          3 |          3 |          3 |          5 |          5 |          4
    miss rate                        |      0.99% |      0.29% |      0.16% |      0.19% |      0.13% |      0.27% |      0.26% |      0.28%
    mpki                             |       0.03 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     124.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      70.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          3 |          2 |          3 |          2 |          4 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
