                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     586989 |     557296 |     683949 |     587676 |     628583 |     544093 |     684309 |     624076
  Cycles                             |     777486 |     777486 |     777486 |     777486 |     777486 |     777486 |     777486 |     777486
  IPC                                |       0.75 |       0.72 |       0.88 |       0.76 |       0.81 |       0.70 |       0.88 |       0.80
  Time (ns)                          |     292288 |     292288 |     292288 |     292288 |     292288 |     292288 |     292288 |     292288
  Idle time (ns)                     |     108048 |     124489 |     100902 |     126619 |      99549 |     132332 |      99363 |     125123
  Idle time (%)                      |      37.0% |      42.6% |      34.5% |      43.3% |      34.1% |      45.3% |      34.0% |      42.8%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     133931 |     126558 |     158159 |     134108 |     144279 |     123209 |     158203 |     143218
  num incorrect                      |        318 |        268 |        339 |        314 |        369 |        327 |        377 |        302
  misprediction rate                 |      0.24% |      0.21% |      0.21% |      0.23% |      0.26% |      0.26% |      0.24% |      0.21%
  mpki                               |       0.54 |       0.48 |       0.50 |       0.53 |       0.59 |       0.60 |       0.55 |       0.48
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     271479 |     256632 |     319970 |     271828 |     292268 |     250054 |     320143 |     290016
    num cache misses                 |         16 |         17 |         16 |         17 |         17 |         16 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03 |       0.02 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     303525 |     288681 |     352015 |     303871 |     324319 |     282087 |     352187 |     322071
    num cache misses                 |       5870 |       5012 |       5586 |       4575 |       5998 |       4681 |       5589 |       4605
    miss rate                        |      1.93% |      1.74% |      1.59% |      1.51% |      1.85% |      1.66% |      1.59% |      1.43%
    mpki                             |      10.00 |       8.99 |       8.17 |       7.78 |       9.54 |       8.60 |       8.17 |       7.38
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6917 |       6002 |       6530 |       5630 |       6768 |       5601 |       6372 |       5430
    num cache misses                 |       1362 |       1013 |       1004 |        820 |       1630 |       1098 |       1259 |        885
    miss rate                        |     19.69% |     16.88% |     15.38% |     14.56% |     24.08% |     19.60% |     19.76% |     16.30%
    mpki                             |       2.32 |       1.82 |       1.47 |       1.40 |       2.59 |       2.02 |       1.84 |       1.42
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1861 |       1578 |       1561 |       1522 |       2007 |       1573 |       1655 |       1277
    num cache misses                 |         22 |         12 |         10 |         10 |         10 |         11 |          7 |          5
    miss rate                        |      1.18% |      0.76% |      0.64% |      0.66% |      0.50% |      0.70% |      0.42% |      0.39%
    mpki                             |       0.04 |       0.02 |       0.01 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     127.18 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      73.75 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          3 |          4 |          4 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
