                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      97474 |      98328 |      98528 |      97905 |      97950 |      98465 |      96647 |      98311
  Cycles                             |    1934497 |    1934497 |    1934497 |    1934497 |    1934497 |    1934497 |    1934497 |    1934497
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |     727255 |     727255 |     727255 |     727255 |     727255 |     727255 |     727255 |     727255
  Idle time (ns)                     |     698333 |     693675 |     692412 |     695939 |     695404 |     692946 |     699578 |     692817
  Idle time (%)                      |      96.0% |      95.4% |      95.2% |      95.7% |      95.6% |      95.3% |      96.2% |      95.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      10947 |      10889 |      10871 |      10887 |      10905 |      10871 |      10877 |      10873
  num incorrect                      |        223 |        336 |        371 |        310 |        293 |        367 |        224 |        350
  misprediction rate                 |      2.00% |      2.99% |      3.30% |      2.77% |      2.62% |      3.27% |      2.02% |      3.12%
  mpki                               |       2.29 |       3.42 |       3.77 |       3.17 |       2.99 |       3.73 |       2.32 |       3.56
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15363 |      15515 |      15520 |      15443 |      15414 |      15512 |      15324 |      15495
    num cache misses                 |         23 |         24 |         23 |         24 |         23 |         23 |         23 |         24
    miss rate                        |      0.15% |      0.15% |      0.15% |      0.16% |      0.15% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.24 |       0.24 |       0.23 |       0.25 |       0.23 |       0.23 |       0.24 |       0.24
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      52520 |      52703 |      52746 |      52607 |      52599 |      52735 |      52341 |      52695
    num cache misses                 |        535 |        713 |        781 |        649 |        620 |        732 |        430 |        828
    miss rate                        |      1.02% |      1.35% |      1.48% |      1.23% |      1.18% |      1.39% |      0.82% |      1.57%
    mpki                             |       5.49 |       7.25 |       7.93 |       6.63 |       6.33 |       7.43 |       4.45 |       8.42
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |        742 |        950 |       1031 |        839 |        832 |        924 |        575 |       1087
    num cache misses                 |        283 |        345 |        405 |        320 |        329 |        399 |        284 |        431
    miss rate                        |     38.14% |     36.32% |     39.28% |     38.14% |     39.54% |     43.18% |     49.39% |     39.65%
    mpki                             |       2.90 |       3.51 |       4.11 |       3.27 |       3.36 |       4.05 |       2.94 |       4.38
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |        407 |        495 |        566 |        410 |        440 |        502 |        360 |        575
    num cache misses                 |         20 |         21 |         13 |         13 |         11 |         11 |         13 |         14
    miss rate                        |      4.91% |      4.24% |      2.30% |      3.17% |      2.50% |      2.19% |      3.61% |      2.43%
    mpki                             |       0.21 |       0.21 |       0.13 |       0.13 |       0.11 |       0.11 |       0.13 |       0.14
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         65 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      94.92 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          8 |          7 |          6 |          5 |          5 |          6 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
