                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      94398 |     109379 |     114097 |     107016
  Cycles                             |     644374 |     644374 |     644374 |     644374
  IPC                                |       0.15 |       0.17 |       0.18 |       0.17
  Time (ns)                          |     242246 |     242246 |     242246 |     242246
  Idle time (ns)                     |     114420 |     104857 |      98152 |     112191
  Idle time (%)                      |      47.2% |      43.3% |      40.5% |      46.3%
Branch predictor stats               |            |            |            |           
  num correct                        |       9545 |      12597 |      13522 |      12143
  num incorrect                      |        142 |         92 |        109 |         73
  misprediction rate                 |      1.47% |      0.73% |      0.80% |      0.60%
  mpki                               |       1.50 |       0.84 |       0.96 |       0.68
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      25369 |      31377 |      33259 |      30431
    num cache misses                 |         17 |         18 |         17 |         18
    miss rate                        |      0.07% |      0.06% |      0.05% |      0.06%
    mpki                             |       0.18 |       0.16 |       0.15 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      60067 |      69069 |      71898 |      67650
    num cache misses                 |       4200 |       4219 |       4227 |       3937
    miss rate                        |      6.99% |      6.11% |      5.88% |      5.82%
    mpki                             |      44.49 |      38.57 |      37.05 |      36.79
  Cache L2                           |            |            |            |           
    num cache accesses               |       4267 |       4276 |       4264 |       3978
    num cache misses                 |       4217 |       4237 |       4244 |       3955
    miss rate                        |     98.83% |     99.09% |     99.53% |     99.42%
    mpki                             |      44.67 |      38.74 |      37.20 |      36.96
  Cache L3                           |            |            |            |           
    num cache accesses               |       4267 |       4276 |       4264 |       3978
    num cache misses                 |         25 |         11 |         10 |          8
    miss rate                        |      0.59% |      0.26% |      0.23% |      0.20%
    mpki                             |       0.26 |       0.10 |       0.09 |       0.07
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     115.71 |        inf |        inf |        inf
  average dram queueing delay        |      62.28 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
