                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     237941 |     237860 |     226658 |     214685
  Cycles                             |     400186 |     400186 |     400186 |     400186
  IPC                                |       0.59 |       0.59 |       0.57 |       0.54
  Time (ns)                          |     150446 |     150446 |     150446 |     150446
  Idle time (ns)                     |      98803 |      98204 |     103431 |     103177
  Idle time (%)                      |      65.7% |      65.3% |      68.7% |      68.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      46690 |      46639 |      43943 |      40877
  num incorrect                      |        299 |        331 |        232 |        306
  misprediction rate                 |      0.64% |      0.70% |      0.53% |      0.74%
  mpki                               |       1.26 |       1.39 |       1.02 |       1.43
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      96967 |      96927 |      91337 |      85359
    num cache misses                 |         16 |         16 |         17 |         17
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.07 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     129001 |     128966 |     123369 |     117382
    num cache misses                 |       4057 |       3703 |       3315 |       3046
    miss rate                        |      3.14% |      2.87% |      2.69% |      2.59%
    mpki                             |      17.05 |      15.57 |      14.63 |      14.19
  Cache L2                           |            |            |            |           
    num cache accesses               |       5049 |       4464 |       4115 |       3735
    num cache misses                 |         22 |          9 |         10 |          7
    miss rate                        |      0.44% |      0.20% |      0.24% |      0.19%
    mpki                             |       0.09 |       0.04 |       0.04 |       0.03
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |         11 |         12 |          9
    num cache misses                 |         22 |          9 |         10 |          7
    miss rate                        |     91.67% |     81.82% |     83.33% |     77.78%
    mpki                             |       0.09 |       0.04 |       0.04 |       0.03
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     107.12 |        inf |        inf |        inf
  average dram queueing delay        |      53.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
