                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      96948 |      97421 |      97241 |      97141
  Cycles                             |     885514 |     885514 |     885514 |     885514
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     332900 |     332900 |     332900 |     332900
  Idle time (ns)                     |     297505 |     295986 |     294945 |     297473
  Idle time (%)                      |      89.4% |      88.9% |      88.6% |      89.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      10873 |      10900 |      10908 |      10894
  num incorrect                      |        257 |        272 |        248 |        255
  misprediction rate                 |      2.31% |      2.43% |      2.22% |      2.29%
  mpki                               |       2.65 |       2.79 |       2.55 |       2.63
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15335 |      15389 |      15352 |      15338
    num cache misses                 |         23 |         24 |         24 |         24
    miss rate                        |      0.15% |      0.16% |      0.16% |      0.16%
    mpki                             |       0.24 |       0.25 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52416 |      52548 |      52475 |      52461
    num cache misses                 |        575 |        603 |        645 |        557
    miss rate                        |      1.10% |      1.15% |      1.23% |      1.06%
    mpki                             |       5.93 |       6.19 |       6.63 |       5.73
  Cache L2                           |            |            |            |           
    num cache accesses               |        798 |        825 |        904 |        755
    num cache misses                 |        598 |        628 |        669 |        581
    miss rate                        |     74.94% |     76.12% |     74.00% |     76.95%
    mpki                             |       6.17 |       6.45 |       6.88 |       5.98
  Cache L3                           |            |            |            |           
    num cache accesses               |        798 |        825 |        904 |        755
    num cache misses                 |         32 |         12 |         12 |         12
    miss rate                        |      4.01% |      1.45% |      1.33% |      1.59%
    mpki                             |       0.33 |       0.12 |       0.12 |       0.12
DRAM summary                         |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0
  average dram access latency (ns)   |     108.81 |        inf |        inf |        inf
  average dram queueing delay        |      55.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          8 |          5 |          6 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
