                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97484 |      96417 |      96829 |      97365
  Cycles                             |     873544 |     873544 |     873544 |     873544
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |     328400 |     328400 |     328400 |     328400
  Idle time (ns)                     |     307083 |     308552 |     307736 |     307417
  Idle time (%)                      |      93.5% |      94.0% |      93.7% |      93.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      10914 |      10883 |      10885 |      10900
  num incorrect                      |        268 |        206 |        239 |        269
  misprediction rate                 |      2.40% |      1.86% |      2.15% |      2.41%
  mpki                               |       2.75 |       2.14 |       2.47 |       2.76
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15366 |      15272 |      15340 |      15356
    num cache misses                 |         22 |         23 |         23 |         23
    miss rate                        |      0.14% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.23 |       0.24 |       0.24 |       0.24
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52549 |      52285 |      52407 |      52505
    num cache misses                 |        772 |        453 |        589 |        736
    miss rate                        |      1.47% |      0.87% |      1.12% |      1.40%
    mpki                             |       7.92 |       4.70 |       6.08 |       7.56
  Cache L2                           |            |            |            |           
    num cache accesses               |       1059 |        674 |        795 |        964
    num cache misses                 |         33 |          6 |          5 |          6
    miss rate                        |      3.12% |      0.89% |      0.63% |      0.62%
    mpki                             |       0.34 |       0.06 |       0.05 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         35 |          8 |          7 |          8
    num cache misses                 |         33 |          6 |          5 |          6
    miss rate                        |     94.29% |     75.00% |     71.43% |     75.00%
    mpki                             |       0.34 |       0.06 |       0.05 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         47 |          0 |          0 |          0
  average dram access latency (ns)   |     105.62 |        inf |        inf |        inf
  average dram queueing delay        |      52.19 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          9 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
