                                     | Core 0     | Core 1    
  Instructions                       |     359599 |     384195
  Cycles                             |     724336 |     724336
  IPC                                |       0.50 |       0.53
  Time (ns)                          |     272307 |     272307
  Idle time (ns)                     |     106278 |      97401
  Idle time (%)                      |      39.0% |      35.8%
Branch predictor stats               |            |           
  num correct                        |      42055 |      46177
  num incorrect                      |        220 |        201
  misprediction rate                 |      0.52% |      0.43%
  mpki                               |       0.61 |       0.52
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      90545 |      98752
    num cache misses                 |         17 |         17
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.05 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     211831 |     224137
    num cache misses                 |       3256 |       3305
    miss rate                        |      1.54% |      1.47%
    mpki                             |       9.05 |       8.60
  Cache L2                           |            |           
    num cache accesses               |       3376 |       3376
    num cache misses                 |         20 |         16
    miss rate                        |      0.59% |      0.47%
    mpki                             |       0.06 |       0.04
  Cache L3                           |            |           
    num cache accesses               |         22 |         18
    num cache misses                 |         20 |         16
    miss rate                        |     90.91% |     88.89%
    mpki                             |       0.06 |       0.04
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      99.75 |        inf
  average dram queueing delay        |      46.32 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
