                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     635222 |     649758 |     548149 |     634807
  Cycles                             |    1170541 |    1170541 |    1170541 |    1170541
  IPC                                |       0.54 |       0.56 |       0.47 |       0.54
  Time (ns)                          |     440053 |     440053 |     440053 |     440053
  Idle time (ns)                     |      97155 |      97092 |     153100 |     110190
  Idle time (%)                      |      22.1% |      22.1% |      34.8% |      25.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      87993 |      90415 |      73529 |      87966
  num incorrect                      |        220 |        242 |        176 |        182
  misprediction rate                 |      0.25% |      0.27% |      0.24% |      0.21%
  mpki                               |       0.35 |       0.37 |       0.32 |       0.29
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     182415 |     187313 |     153411 |     182297
    num cache misses                 |         17 |         11 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.02 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     349639 |     356904 |     306118 |     349447
    num cache misses                 |      45710 |      40785 |      33515 |      39029
    miss rate                        |     13.07% |     11.43% |     10.95% |     11.17%
    mpki                             |      71.96 |      62.77 |      61.14 |      61.48
  Cache L2                           |            |            |            |           
    num cache accesses               |      45812 |      40924 |      33616 |      39120
    num cache misses                 |         24 |          8 |          9 |         10
    miss rate                        |      0.05% |      0.02% |      0.03% |      0.03%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.02
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |         10 |         11 |         12
    num cache misses                 |         24 |          8 |          9 |         10
    miss rate                        |     92.31% |     80.00% |     81.82% |     83.33%
    mpki                             |       0.04 |       0.01 |       0.02 |       0.02
DRAM summary                         |            |            |            |           
  num dram accesses                  |         35 |          0 |          0 |          0
  average dram access latency (ns)   |     110.75 |        inf |        inf |        inf
  average dram queueing delay        |      57.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          2 |          2 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
