                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     994445 |     978746 |     974340 |     971712 |     951452 |     883425 |    1012866 |    1014928 |     912318 |     878627 |     987464 |    1003070 |     978317 |     730236 |     795273 |    1022300
  Cycles                             |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364 |    6214364
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.14 |       0.16 |       0.16 |       0.15 |       0.14 |       0.16 |       0.16 |       0.16 |       0.12 |       0.13 |       0.16
  Time (ns)                          |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227 |    2336227
  Idle time (ns)                     |     101927 |     232365 |     190032 |     176789 |     230731 |     348169 |     103266 |     103819 |     330060 |     459955 |     224489 |     165522 |     221905 |     695979 |     539079 |     147723
  Idle time (%)                      |       4.4% |       9.9% |       8.1% |       7.6% |       9.9% |      14.9% |       4.4% |       4.4% |      14.1% |      19.7% |       9.6% |       7.1% |       9.5% |      29.8% |      23.1% |       6.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     147909 |     145342 |     144597 |     144164 |     140785 |     129460 |     151024 |     151328 |     134268 |     128641 |     146758 |     149379 |     145273 |     103910 |     114757 |     152567
  num incorrect                      |        173 |        129 |        139 |        134 |        137 |        125 |        134 |        172 |        132 |        144 |        166 |        146 |        127 |        143 |        136 |        163
  misprediction rate                 |      0.12% |      0.09% |      0.10% |      0.09% |      0.10% |      0.10% |      0.09% |      0.11% |      0.10% |      0.11% |      0.11% |      0.10% |      0.09% |      0.14% |      0.12% |      0.11%
  mpki                               |       0.17 |       0.13 |       0.14 |       0.14 |       0.14 |       0.14 |       0.13 |       0.17 |       0.14 |       0.16 |       0.17 |       0.15 |       0.13 |       0.20 |       0.17 |       0.16
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     302156 |     296943 |     295471 |     294595 |     287845 |     265165 |     308316 |     309000 |     274800 |     263571 |     299849 |     305051 |     296801 |     214106 |     235781 |     311461
    num cache misses                 |         16 |         17 |         18 |         18 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
