                                     | Core 0     | Core 1    
  Instructions                       |     332748 |     381831
  Cycles                             |     603147 |     603147
  IPC                                |       0.55 |       0.63
  Time (ns)                          |     226747 |     226747
  Idle time (ns)                     |     105285 |      97732
  Idle time (%)                      |      46.4% |      43.1%
Branch predictor stats               |            |           
  num correct                        |      42599 |      52405
  num incorrect                      |        358 |        369
  misprediction rate                 |      0.83% |      0.70%
  mpki                               |       1.08 |       0.97
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      91909 |     111545
    num cache misses                 |         17 |         18
    miss rate                        |      0.02% |      0.02%
    mpki                             |       0.05 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |     213877 |     243328
    num cache misses                 |       1870 |       2268
    miss rate                        |      0.87% |      0.93%
    mpki                             |       5.62 |       5.94
  Cache L2                           |            |           
    num cache accesses               |       2401 |       2402
    num cache misses                 |         18 |         13
    miss rate                        |      0.75% |      0.54%
    mpki                             |       0.05 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         20 |         15
    num cache misses                 |         18 |         13
    miss rate                        |     90.00% |     86.67%
    mpki                             |       0.05 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      99.74 |        inf
  average dram queueing delay        |      46.31 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
