                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    7145148 |    7969388 |    8046448 |    8663283 |    7697498 |    6192449 |    6378563 |    9442522
  Cycles                             |   28686249 |   28686249 |   28686249 |   28686249 |   28686249 |   28686249 |   28686249 |   28686249
  IPC                                |       0.25 |       0.28 |       0.28 |       0.30 |       0.27 |       0.22 |       0.22 |       0.33
  Time (ns)                          |   10784304 |   10784304 |   10784304 |   10784304 |   10784304 |   10784304 |   10784304 |   10784304
  Idle time (ns)                     |     203374 |     677442 |    1304601 |    1342890 |     254839 |    2473692 |    2740158 |      99423
  Idle time (%)                      |       1.9% |       6.3% |      12.1% |      12.5% |       2.4% |      22.9% |      25.4% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1261203 |    1426100 |    1441514 |    1564829 |    1371700 |    1070713 |    1107955 |    1720699
  num incorrect                      |        234 |        191 |        189 |        241 |        213 |        190 |        171 |        218
  misprediction rate                 |      0.02% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01%
  mpki                               |       0.03 |       0.02 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2528869 |    2858581 |    2889405 |    3136139 |    2749825 |    2147805 |    2222251 |    3447830
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    4409317 |    4903875 |    4950111 |    5320212 |    4740741 |    3837711 |    3949380 |    5787754
    num cache misses                 |     529629 |     453251 |     438548 |     444050 |     489283 |     330241 |     324746 |     511688
    miss rate                        |     12.01% |      9.24% |      8.86% |      8.35% |     10.32% |      8.61% |      8.22% |      8.84%
    mpki                             |      74.12 |      56.87 |      54.50 |      51.26 |      63.56 |      53.33 |      50.91 |      54.19
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     529714 |     453329 |     438612 |     444140 |     489319 |     330270 |     324774 |     511716
    num cache misses                 |     242192 |     195908 |     177902 |     174520 |     232435 |     171189 |     161959 |     225125
    miss rate                        |     45.72% |     43.22% |     40.56% |     39.29% |     47.50% |     51.83% |     49.87% |     43.99%
    mpki                             |      33.90 |      24.58 |      22.11 |      20.14 |      30.20 |      27.64 |      25.39 |      23.84
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     242248 |     195952 |     177939 |     174578 |     232437 |     171191 |     161961 |     225128
    num cache misses                 |         24 |         11 |         12 |         12 |         13 |         12 |         12 |         11
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     128.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      75.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          5 |          3 |          3 |          3 |          5 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
