                                     | Core 0     | Core 1    
  Instructions                       |     395478 |     492381
  Cycles                             |     663557 |     663557
  IPC                                |       0.60 |       0.74
  Time (ns)                          |     249458 |     249458
  Idle time (ns)                     |     116131 |      97811
  Idle time (%)                      |      46.6% |      39.2%
Branch predictor stats               |            |           
  num correct                        |      65622 |      89841
  num incorrect                      |        251 |        267
  misprediction rate                 |      0.38% |      0.30%
  mpki                               |       0.63 |       0.54
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     134736 |     183208
    num cache misses                 |         17 |         15
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.04 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     229769 |     278229
    num cache misses                 |       1207 |       1661
    miss rate                        |      0.53% |      0.60%
    mpki                             |       3.05 |       3.37
  Cache L2                           |            |           
    num cache accesses               |       2106 |       2103
    num cache misses                 |         25 |          4
    miss rate                        |      1.19% |      0.19%
    mpki                             |       0.06 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         27 |          6
    num cache misses                 |         25 |          4
    miss rate                        |     92.59% |     66.67%
    mpki                             |       0.06 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      96.69 |        inf
  average dram queueing delay        |      43.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
