                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   44618978 |   41585783 |   43706424 |   44465143 |   40267198 |   34749313 |   45348498 |   43866725
  Cycles                             |   26044631 |   26044631 |   26044631 |   26044631 |   26044631 |   26044631 |   26044631 |   26044631
  IPC                                |       1.71 |       1.60 |       1.68 |       1.71 |       1.55 |       1.33 |       1.74 |       1.68
  Time (ns)                          |    9791215 |    9791215 |    9791215 |    9791215 |    9791215 |    9791215 |    9791215 |    9791215
  Idle time (ns)                     |     223085 |     814232 |     411260 |     266781 |    1030572 |    2104456 |      98369 |     381127
  Idle time (%)                      |       2.3% |       8.3% |       4.2% |       2.7% |      10.5% |      21.5% |       1.0% |       3.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10918197 |   10159890 |   10690061 |   10879778 |    9830294 |    8450889 |   11100688 |   10730064
  num incorrect                      |       1021 |       1033 |       1026 |        988 |        994 |        926 |        926 |       1087
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21841346 |   20324766 |   21385104 |   21764460 |   19665507 |   16906557 |   22206162 |   21465202
    num cache misses                 |         17 |         17 |         17 |         17 |         17 |         17 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   22566499 |   21049905 |   22110228 |   22489587 |   20390623 |   17631679 |   22931273 |   22190371
    num cache misses                 |       6726 |       6181 |       6536 |       6546 |      12325 |      10650 |      12726 |      12232
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.15 |       0.15 |       0.15 |       0.15 |       0.31 |       0.31 |       0.28 |       0.28
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8339 |       7350 |       7704 |       7648 |      13086 |      11434 |      13408 |      12962
    num cache misses                 |        993 |        660 |        716 |        770 |       2960 |       1893 |       1936 |       1558
    miss rate                        |     11.91% |      8.98% |      9.29% |     10.07% |     22.62% |     16.56% |     14.44% |     12.02%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.05 |       0.04 |       0.04
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2601 |       1928 |       1951 |       1936 |       2962 |       1895 |       1980 |       1582
    num cache misses                 |         24 |          4 |          5 |          4 |          5 |          6 |          5 |          5
    miss rate                        |      0.92% |      0.21% |      0.26% |      0.21% |      0.17% |      0.32% |      0.25% |      0.32%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     117.98 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      64.55 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          2 |          3 |          2 |          3 |          3 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
