                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   89806359 |   88882601 |   93828362 |   88866700 |   88411161 |   81558274 |   91534951 |   84263664 |   91713402 |   83080364 |   87563717 |   89629656 |   92860808 |   93693226 |   76828737 |   93002965
  Cycles                             |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839 |   52289839
  IPC                                |       1.72 |       1.70 |       1.79 |       1.70 |       1.69 |       1.56 |       1.75 |       1.61 |       1.75 |       1.59 |       1.67 |       1.71 |       1.78 |       1.79 |       1.47 |       1.78
  Time (ns)                          |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834 |   19657834
  Idle time (ns)                     |     878491 |    1069429 |     100871 |    1088662 |    1181334 |    2531791 |     559799 |    2000077 |     494678 |    2229401 |    1356303 |     944563 |     297001 |     135308 |    3472437 |     270425
  Idle time (%)                      |       4.5% |       5.4% |       0.5% |       5.5% |       6.0% |      12.9% |       2.8% |      10.2% |       2.5% |      11.3% |       6.9% |       4.8% |       1.5% |       0.7% |      17.7% |       1.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   22215182 |   21984262 |   23220651 |   21980314 |   21866408 |   20153209 |   22647321 |   20829569 |   22691914 |   20533688 |   21654521 |   22171040 |   22978761 |   23186799 |   18970825 |   23014317
  num incorrect                      |        888 |        873 |        918 |        857 |        864 |        848 |        913 |        839 |        924 |        895 |        900 |        869 |        934 |       1005 |        860 |        923
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   44435068 |   43973204 |   46446055 |   43965300 |   43737470 |   40311056 |   45299409 |   41663767 |   45388593 |   41072095 |   43313769 |   44346756 |   45962322 |   46378552 |   37946321 |   46033434
    num cache misses                 |         17 |         17 |         17 |         17 |         17 |         17 |         16 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   45160194 |   44698315 |   47171191 |   44690379 |   44462593 |   41036155 |   46024501 |   42388856 |   46113721 |   41797205 |   44038881 |   45071851 |   46687426 |   47103638 |   38671397 |   46758512
    num cache misses                 |      22654 |      22379 |      23578 |      22269 |      22077 |      20329 |      22929 |      20959 |      23221 |      20725 |      21845 |      22364 |      23313 |      23451 |      19150 |      23237
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23724 |      23366 |      24563 |      23241 |      23074 |      21315 |      23949 |      21937 |      24263 |      21703 |      22840 |      23363 |      24328 |      24434 |      20119 |      24227
    num cache misses                 |      22671 |      22396 |      23595 |      22286 |      22094 |      20346 |      22945 |      20976 |      23237 |      20741 |      21862 |      22380 |      23329 |      23467 |      19166 |      23253
    miss rate                        |     95.56% |     95.85% |     96.06% |     95.89% |     95.75% |     95.45% |     95.81% |     95.62% |     95.77% |     95.57% |     95.72% |     95.79% |     95.89% |     96.04% |     95.26% |     95.98%
    mpki                             |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      23724 |      23366 |      24563 |      23241 |      23074 |      21315 |      23949 |      21937 |      24263 |      21703 |      22840 |      23363 |      24328 |      24434 |      20119 |      24227
    num cache misses                 |      12625 |      12163 |      13248 |      11967 |      11833 |      10684 |      12386 |      11144 |      12897 |      10923 |      11668 |      11916 |      12683 |      12663 |       9818 |      12573
    miss rate                        |     53.22% |     52.05% |     53.93% |     51.49% |     51.28% |     50.12% |     51.72% |     50.80% |     53.16% |     50.33% |     51.09% |     51.00% |     52.13% |     51.83% |     48.80% |     51.90%
    mpki                             |       0.14 |       0.14 |       0.14 |       0.13 |       0.13 |       0.13 |       0.14 |       0.13 |       0.14 |       0.13 |       0.13 |       0.13 |       0.14 |       0.14 |       0.13 |       0.14
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     145.84 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      92.41 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          2 |          3 |          3 |          2 |          3 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7191 |       6933 |       7719 |       6943 |       6892 |       6262 |       7308 |       6458 |       7413 |       6330 |       6875 |       7038 |       7417 |       7442 |       5814 |       7329
