                                     | Core 0     | Core 1    
  Instructions                       |     122769 |     121759
  Cycles                             |     335560 |     335560
  IPC                                |       0.37 |       0.36
  Time (ns)                          |     126151 |     126151
  Idle time (ns)                     |      97839 |      97916
  Idle time (%)                      |      77.6% |      77.6%
Branch predictor stats               |            |           
  num correct                        |      17940 |      17676
  num incorrect                      |        254 |        268
  misprediction rate                 |      1.40% |      1.49%
  mpki                               |       2.07 |       2.20
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      39370 |      38868
    num cache misses                 |         15 |         17
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.12 |       0.14
  Cache L1-D                         |            |           
    num cache accesses               |      71414 |      70907
    num cache misses                 |       1344 |       1313
    miss rate                        |      1.88% |      1.85%
    mpki                             |      10.95 |      10.78
  Cache L2                           |            |           
    num cache accesses               |       1849 |       1850
    num cache misses                 |         23 |         11
    miss rate                        |      1.24% |      0.59%
    mpki                             |       0.19 |       0.09
  Cache L3                           |            |           
    num cache accesses               |         25 |         13
    num cache misses                 |         23 |         11
    miss rate                        |     92.00% |     84.62%
    mpki                             |       0.19 |       0.09
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      96.84 |        inf
  average dram queueing delay        |      43.41 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
