                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43275821 |   41299684 |   44060129 |   39797532 |   44683705 |   40239110 |   41274853 |   45678847
  Cycles                             |   26169385 |   26169385 |   26169385 |   26169385 |   26169385 |   26169385 |   26169385 |   26169385
  IPC                                |       1.65 |       1.58 |       1.68 |       1.52 |       1.71 |       1.54 |       1.58 |       1.75
  Time (ns)                          |    9838115 |    9838115 |    9838115 |    9838115 |    9838115 |    9838115 |    9838115 |    9838115
  Idle time (ns)                     |     501748 |     902232 |     384182 |    1190445 |     250322 |    1109287 |     920008 |      99394
  Idle time (%)                      |       5.1% |       9.2% |       3.9% |      12.1% |       2.5% |      11.3% |       9.4% |       1.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10582798 |   10088670 |   10778817 |    9713185 |   10934733 |    9823520 |   10082473 |   11183578
  num incorrect                      |        898 |       1003 |        960 |        946 |        940 |       1004 |        987 |        881
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21170327 |   20182297 |   21562480 |   19431197 |   21874277 |   19651977 |   20169851 |   22371852
    num cache misses                 |         16 |         17 |         16 |         17 |         17 |         17 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21895442 |   20907383 |   22287606 |   20156307 |   22599393 |   20377096 |   20894967 |   23096963
    num cache misses                 |       8541 |       8231 |       8535 |       7742 |      11065 |       9766 |       9778 |      10451
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.20 |       0.20 |       0.19 |       0.19 |       0.25 |       0.24 |       0.24 |       0.23
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      10005 |       9320 |       9633 |       8849 |      11906 |      10585 |      10607 |      11146
    num cache misses                 |       1795 |       1061 |        862 |        756 |       2763 |       1811 |       1423 |       1229
    miss rate                        |     17.94% |     11.38% |      8.95% |      8.54% |     23.21% |     17.11% |     13.42% |     11.03%
    mpki                             |       0.04 |       0.03 |       0.02 |       0.02 |       0.06 |       0.05 |       0.03 |       0.03
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3045 |       2006 |       1819 |       1682 |       3034 |       2159 |       1828 |       1527
    num cache misses                 |         22 |          9 |         11 |         10 |         11 |          8 |          9 |          8
    miss rate                        |      0.72% |      0.45% |      0.60% |      0.59% |      0.36% |      0.37% |      0.49% |      0.52%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     125.20 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.77 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          3 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
