                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6097385 |    5636175 |    4399197 |    6170828 |    6267589 |    6225961 |    4526185 |    5128339 |    6024777 |    6036383 |    3921303 |    6026321 |    5300791 |    6285053 |    5765971 |    6152698
  Cycles                             |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588 |    5619588
  IPC                                |       1.09 |       1.00 |       0.78 |       1.10 |       1.12 |       1.11 |       0.81 |       0.91 |       1.07 |       1.07 |       0.70 |       1.07 |       0.94 |       1.12 |       1.03 |       1.09
  Time (ns)                          |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627 |    2112627
  Idle time (ns)                     |     128796 |     311967 |     692968 |     133523 |     100972 |     116167 |     661631 |     468847 |     170527 |     180283 |     859702 |     170247 |     438563 |     106258 |     268294 |     138346
  Idle time (%)                      |       6.1% |      14.8% |      32.8% |       6.3% |       4.8% |       5.5% |      31.3% |      22.2% |       8.1% |       8.5% |      40.7% |       8.1% |      20.8% |       5.0% |      12.7% |       6.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1491065 |    1375816 |    1066617 |    1509422 |    1533628 |    1523259 |    1098348 |    1248908 |    1472894 |    1475778 |     947192 |    1473239 |    1291908 |    1538009 |    1408316 |    1504808
  num incorrect                      |        528 |        478 |        432 |        530 |        518 |        477 |        449 |        428 |        547 |        565 |        386 |        589 |        538 |        504 |        429 |        613
  misprediction rate                 |      0.04% |      0.03% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.04%
  mpki                               |       0.09 |       0.08 |       0.10 |       0.09 |       0.08 |       0.08 |       0.10 |       0.08 |       0.09 |       0.09 |       0.10 |       0.10 |       0.10 |       0.08 |       0.07 |       0.10
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2986145 |    2755554 |    2137062 |    3022850 |    3071253 |    3050420 |    2200562 |    2501642 |    2949834 |    2955640 |    1898130 |    2950612 |    2587850 |    3079990 |    2820464 |    3013800
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3081224 |    2850617 |    2232128 |    3117943 |    3166323 |    3145510 |    2295622 |    2596699 |    3044918 |    3050721 |    1993181 |    3045690 |    2682925 |    3175056 |    2915515 |    3108882
    num cache misses                 |      19245 |      17015 |      13127 |      18946 |      19198 |      19103 |      13299 |      15219 |      18650 |      18434 |      11475 |      18482 |      15576 |      18992 |      17290 |      18669
    miss rate                        |      0.62% |      0.60% |      0.59% |      0.61% |      0.61% |      0.61% |      0.58% |      0.59% |      0.61% |      0.60% |      0.58% |      0.61% |      0.58% |      0.60% |      0.59% |      0.60%
    mpki                             |       3.16 |       3.02 |       2.98 |       3.07 |       3.06 |       3.07 |       2.94 |       2.97 |       3.10 |       3.05 |       2.93 |       3.07 |       2.94 |       3.02 |       3.00 |       3.03
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20343 |      18075 |      14194 |      20033 |      20212 |      20180 |      14364 |      16244 |      19760 |      19522 |      12529 |      19520 |      16621 |      20037 |      18378 |      19692
    num cache misses                 |      19262 |      17034 |      13147 |      18965 |      19217 |      19122 |      13317 |      15240 |      18667 |      18453 |      11492 |      18499 |      15596 |      19009 |      17309 |      18690
    miss rate                        |     94.69% |     94.24% |     92.62% |     94.67% |     95.08% |     94.76% |     92.71% |     93.82% |     94.47% |     94.52% |     91.72% |     94.77% |     93.83% |     94.87% |     94.18% |     94.91%
    mpki                             |       3.16 |       3.02 |       2.99 |       3.07 |       3.07 |       3.07 |       2.94 |       2.97 |       3.10 |       3.06 |       2.93 |       3.07 |       2.94 |       3.02 |       3.00 |       3.04
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20343 |      18075 |      14194 |      20033 |      20212 |      20180 |      14364 |      16244 |      19760 |      19522 |      12529 |      19520 |      16621 |      20037 |      18378 |      19692
    num cache misses                 |      12444 |      10423 |       7779 |      11982 |      12024 |      11980 |       7747 |       9138 |      11504 |      11132 |       6658 |      11138 |       9075 |      11267 |      10230 |      11143
    miss rate                        |     61.17% |     57.67% |     54.80% |     59.81% |     59.49% |     59.37% |     53.93% |     56.25% |     58.22% |     57.02% |     53.14% |     57.06% |     54.60% |     56.23% |     55.66% |     56.59%
    mpki                             |       2.04 |       1.85 |       1.77 |       1.94 |       1.92 |       1.92 |       1.71 |       1.78 |       1.91 |       1.84 |       1.70 |       1.85 |       1.71 |       1.79 |       1.77 |       1.81
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     146.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      93.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          5 |          3 |          2 |          3 |          3 |          2 |          2 |          2 |          2 |          2 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7630 |       6406 |       4585 |       7381 |       7410 |       7428 |       4608 |       5425 |       6848 |       6639 |       4017 |       6683 |       5574 |       6820 |       6226 |       6750
