                                     | Core 0     | Core 1    
  Instructions                       |     216911 |     216750
  Cycles                             |    1669959 |    1669959
  IPC                                |       0.13 |       0.13
  Time (ns)                          |     627804 |     627804
  Idle time (ns)                     |     503248 |     503490
  Idle time (%)                      |      80.2% |      80.2%
Branch predictor stats               |            |           
  num correct                        |      19845 |      19848
  num incorrect                      |        467 |        451
  misprediction rate                 |      2.30% |      2.22%
  mpki                               |       2.15 |       2.08
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15731 |      15693
    num cache misses                 |         23 |         22
    miss rate                        |      0.15% |      0.14%
    mpki                             |       0.11 |       0.10
  Cache L1-D                         |            |           
    num cache accesses               |     133864 |     133814
    num cache misses                 |        712 |        886
    miss rate                        |      0.53% |      0.66%
    mpki                             |       3.28 |       4.09
  Cache L2                           |            |           
    num cache accesses               |       1131 |       1131
    num cache misses                 |         26 |         15
    miss rate                        |      2.30% |      1.33%
    mpki                             |       0.12 |       0.07
  Cache L3                           |            |           
    num cache accesses               |         28 |         17
    num cache misses                 |         26 |         15
    miss rate                        |     92.86% |     88.24%
    mpki                             |       0.12 |       0.07
DRAM summary                         |            |           
  num dram accesses                  |         39 |          0
  average dram access latency (ns)   |      92.71 |        inf
  average dram queueing delay        |      39.28 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          7 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
