                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    1399634 |    1403822 |    1404374 |    1397858 |    1405060 |    1401348 |    1401694 |    1401540
  Cycles                             |   50763309 |   50763309 |   50763309 |   50763309 |   50763309 |   50763309 |   50763309 |   50763309
  IPC                                |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Time (ns)                          |   19083951 |   19083951 |   19083951 |   19083951 |   19083951 |   19083951 |   19083951 |   19083951
  Idle time (ns)                     |   17694754 |   17686627 |   17685788 |   17698214 |   17678845 |   17692116 |   17690263 |   17692714
  Idle time (%)                      |      92.7% |      92.7% |      92.7% |      92.7% |      92.6% |      92.7% |      92.7% |      92.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110652 |     110908 |     110985 |     110500 |     111034 |     110786 |     110797 |     110770
  num incorrect                      |        246 |        339 |        308 |        250 |        322 |        254 |        271 |        286
  misprediction rate                 |      0.22% |      0.30% |      0.28% |      0.23% |      0.29% |      0.23% |      0.24% |      0.26%
  mpki                               |       0.18 |       0.24 |       0.22 |       0.18 |       0.23 |       0.18 |       0.19 |       0.20
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      17303 |      17405 |      17365 |      17293 |      17369 |      17280 |      17307 |      17348
    num cache misses                 |         23 |         24 |         24 |         24 |         22 |         23 |         23 |         23
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.13% |      0.13% |      0.13% |      0.13%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     945096 |     945891 |     945943 |     944785 |     946104 |     945355 |     945438 |     945455
    num cache misses                 |       1893 |       2239 |       2282 |       1751 |       2281 |       2022 |       2057 |       2003
    miss rate                        |      0.20% |      0.24% |      0.24% |      0.19% |      0.24% |      0.21% |      0.22% |      0.21%
    mpki                             |       1.35 |       1.59 |       1.62 |       1.25 |       1.62 |       1.44 |       1.47 |       1.43
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1978 |       2353 |       2380 |       1830 |       2446 |       2139 |       2180 |       2159
    num cache misses                 |       1112 |       1327 |       1374 |       1017 |       1379 |       1077 |       1098 |       1067
    miss rate                        |     56.22% |     56.40% |     57.73% |     55.57% |     56.38% |     50.35% |     50.37% |     49.42%
    mpki                             |       0.79 |       0.95 |       0.98 |       0.73 |       0.98 |       0.77 |       0.78 |       0.76
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       1140 |       1369 |       1417 |       1048 |       1477 |       1147 |       1175 |       1174
    num cache misses                 |         20 |          6 |          5 |          6 |         16 |          5 |          4 |          7
    miss rate                        |      1.75% |      0.44% |      0.35% |      0.57% |      1.08% |      0.44% |      0.34% |      0.60%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         65 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     117.99 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      64.56 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          4 |          3 |          6 |          3 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
