                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     218075 |     219117 |     218539 |     218218 |     217648 |     217393 |     218097 |     218522 |     218237 |     219240 |     219188 |     218665 |     218548 |     217958 |     218922 |     217819
  Cycles                             |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262 |   13513262
  IPC                                |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Time (ns)                          |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174 |    5080174
  Idle time (ns)                     |    4933100 |    4930927 |    4931625 |    4934666 |    4935594 |    4935955 |    4935226 |    4933636 |    4936639 |    4932976 |    4933375 |    4934324 |    4934346 |    4936478 |    4934313 |    4938463
  Idle time (%)                      |      97.1% |      97.1% |      97.1% |      97.1% |      97.2% |      97.2% |      97.1% |      97.1% |      97.2% |      97.1% |      97.1% |      97.1% |      97.1% |      97.2% |      97.1% |      97.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      19815 |      19897 |      19840 |      19836 |      19843 |      19824 |      19920 |      19891 |      19862 |      19849 |      19890 |      19791 |      19857 |      19774 |      19929 |      19894
  num incorrect                      |        554 |        574 |        570 |        552 |        501 |        501 |        461 |        522 |        522 |        620 |        578 |        628 |        562 |        598 |        517 |        467
  misprediction rate                 |      2.72% |      2.80% |      2.79% |      2.71% |      2.46% |      2.46% |      2.26% |      2.56% |      2.56% |      3.03% |      2.82% |      3.08% |      2.75% |      2.94% |      2.53% |      2.29%
  mpki                               |       2.54 |       2.62 |       2.61 |       2.53 |       2.30 |       2.30 |       2.11 |       2.39 |       2.39 |       2.83 |       2.64 |       2.87 |       2.57 |       2.74 |       2.36 |       2.14
