                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98239 |      99904 |      66968 |     101166
  Cycles                             |     451658 |     451658 |     451658 |     451658
  IPC                                |       0.22 |       0.22 |       0.15 |       0.22
  Time (ns)                          |     169796 |     169796 |     169796 |     169796
  Idle time (ns)                     |     109290 |     104965 |     140973 |      98115
  Idle time (%)                      |      64.4% |      61.8% |      83.0% |      57.8%
Branch predictor stats               |            |            |            |           
  num correct                        |       9148 |       9436 |       3999 |       9612
  num incorrect                      |         67 |         61 |         10 |         92
  misprediction rate                 |      0.73% |      0.64% |      0.25% |      0.95%
  mpki                               |       0.68 |       0.61 |       0.15 |       0.91
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      24425 |      24993 |      14018 |      25407
    num cache misses                 |         17 |         17 |         17 |         17
    miss rate                        |      0.07% |      0.07% |      0.12% |      0.07%
    mpki                             |       0.17 |       0.17 |       0.25 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      58651 |      59493 |      43027 |      60124
    num cache misses                 |       1754 |       1687 |        770 |       1595
    miss rate                        |      2.99% |      2.84% |      1.79% |      2.65%
    mpki                             |      17.85 |      16.89 |      11.50 |      15.77
  Cache L2                           |            |            |            |           
    num cache accesses               |       2084 |       2003 |        935 |       1880
    num cache misses                 |       1773 |       1704 |        787 |       1613
    miss rate                        |     85.08% |     85.07% |     84.17% |     85.80%
    mpki                             |      18.05 |      17.06 |      11.75 |      15.94
  Cache L3                           |            |            |            |           
    num cache accesses               |       2084 |       2003 |        935 |       1880
    num cache misses                 |       1773 |       1704 |        787 |       1613
    miss rate                        |     85.08% |     85.07% |     84.17% |     85.80%
    mpki                             |      18.05 |      17.06 |      11.75 |      15.94
DRAM summary                         |            |            |            |           
  num dram accesses                  |        358 |          0 |          0 |          0
  average dram access latency (ns)   |      76.00 |        inf |        inf |        inf
  average dram queueing delay        |      22.57 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         81 |         71 |         47 |         89
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        216 |        212 |         99 |        191
