                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     147040 |     137935 |     143586 |     128513
  Cycles                             |     482114 |     482114 |     482114 |     482114
  IPC                                |       0.30 |       0.29 |       0.30 |       0.27
  Time (ns)                          |     181246 |     181246 |     181246 |     181246
  Idle time (ns)                     |     115192 |     100289 |      98162 |     103269
  Idle time (%)                      |      63.6% |      55.3% |      54.2% |      57.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      24184 |      21915 |      23302 |      19520
  num incorrect                      |         81 |         85 |        102 |        121
  misprediction rate                 |      0.33% |      0.39% |      0.44% |      0.62%
  mpki                               |       0.55 |       0.62 |       0.71 |       0.94
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      51523 |      47000 |      49801 |      42278
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.11 |       0.12 |       0.11 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      83551 |      79009 |      81834 |      74299
    num cache misses                 |        969 |       1108 |       1170 |       1051
    miss rate                        |      1.16% |      1.40% |      1.43% |      1.41%
    mpki                             |       6.59 |       8.03 |       8.15 |       8.18
  Cache L2                           |            |            |            |           
    num cache accesses               |       1361 |       1426 |       1473 |       1460
    num cache misses                 |        985 |       1124 |       1186 |       1067
    miss rate                        |     72.37% |     78.82% |     80.52% |     73.08%
    mpki                             |       6.70 |       8.15 |       8.26 |       8.30
  Cache L3                           |            |            |            |           
    num cache accesses               |       1361 |       1426 |       1473 |       1460
    num cache misses                 |        985 |       1124 |       1186 |       1067
    miss rate                        |     72.37% |     78.82% |     80.52% |     73.08%
    mpki                             |       6.70 |       8.15 |       8.26 |       8.30
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1757 |          0 |          0 |          0
  average dram access latency (ns)   |      59.95 |        inf |        inf |        inf
  average dram queueing delay        |       6.52 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      8.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        275 |        443 |        439 |        441
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        521 |        479 |        542 |        382
