                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     131114 |     132074 |     118050 |     111283 |     125784 |     114996 |     111601 |     126009
  Cycles                             |     689481 |     689481 |     689481 |     689481 |     689481 |     689481 |     689481 |     689481
  IPC                                |       0.19 |       0.19 |       0.17 |       0.16 |       0.18 |       0.17 |       0.16 |       0.18
  Time (ns)                          |     259204 |     259204 |     259204 |     259204 |     259204 |     259204 |     259204 |     259204
  Idle time (ns)                     |      99435 |     105754 |     130131 |     144572 |     103371 |     133854 |     143512 |     116472
  Idle time (%)                      |      38.4% |      40.8% |      50.2% |      55.8% |      39.9% |      51.6% |      55.4% |      44.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      14521 |      14679 |      12415 |      11294 |      13676 |      11882 |      11310 |      13723
  num incorrect                      |        172 |        181 |        106 |         99 |        134 |        130 |        136 |        122
  misprediction rate                 |      1.17% |      1.22% |      0.85% |      0.87% |      0.97% |      1.08% |      1.19% |      0.88%
  mpki                               |       1.31 |       1.37 |       0.90 |       0.89 |       1.07 |       1.13 |       1.22 |       0.97
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      35378 |      35720 |      31041 |      28786 |      33619 |      30023 |      28891 |      33690
    num cache misses                 |         16 |         17 |         18 |         17 |         18 |         18 |         18 |         18
    miss rate                        |      0.05% |      0.05% |      0.06% |      0.06% |      0.05% |      0.06% |      0.06% |      0.05%
    mpki                             |       0.12 |       0.13 |       0.15 |       0.15 |       0.14 |       0.16 |       0.16 |       0.14
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      75086 |      75578 |      68565 |      65183 |      72432 |      67038 |      65340 |      72539
    num cache misses                 |       7291 |       6738 |       5718 |       5133 |       6363 |       5374 |       4875 |       5905
    miss rate                        |      9.71% |      8.92% |      8.34% |      7.87% |      8.78% |      8.02% |      7.46% |      8.14%
    mpki                             |      55.61 |      51.02 |      48.44 |      46.13 |      50.59 |      46.73 |      43.68 |      46.86
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7533 |       7056 |       5990 |       5343 |       6636 |       5583 |       5077 |       6102
    num cache misses                 |       3875 |       3455 |       2912 |       2646 |       3890 |       3011 |       2723 |       3452
    miss rate                        |     51.44% |     48.97% |     48.61% |     49.52% |     58.62% |     53.93% |     53.63% |     56.57%
    mpki                             |      29.55 |      26.16 |      24.67 |      23.78 |      30.93 |      26.18 |      24.40 |      27.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4045 |       3677 |       3105 |       2779 |       4073 |       3126 |       2854 |       3548
    num cache misses                 |         15 |          9 |         11 |         12 |          7 |          7 |          6 |         14
    miss rate                        |      0.37% |      0.24% |      0.35% |      0.43% |      0.17% |      0.22% |      0.21% |      0.39%
    mpki                             |       0.11 |       0.07 |       0.09 |       0.11 |       0.06 |       0.06 |       0.05 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     133.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      80.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          5 |          3 |          3 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
