                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    2621044 |    2591628 |    3440667 |    3519537 |    3336850 |    3499453 |    3794487 |    3289969
  Cycles                             |    2530211 |    2530211 |    2530211 |    2530211 |    2530211 |    2530211 |    2530211 |    2530211
  IPC                                |       1.04 |       1.02 |       1.36 |       1.39 |       1.32 |       1.38 |       1.50 |       1.30
  Time (ns)                          |     951207 |     951207 |     951207 |     951207 |     951207 |     951207 |     951207 |     951207
  Idle time (ns)                     |     283434 |     319596 |     135723 |     134340 |     138453 |     129407 |      99298 |     190563
  Idle time (%)                      |      29.8% |      33.6% |      14.3% |      14.1% |      14.6% |      13.6% |      10.4% |      20.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     621705 |     614346 |     826507 |     846314 |     800562 |     841307 |     915174 |     789018
  num incorrect                      |        549 |        548 |        646 |        572 |        644 |        558 |        450 |        476
  misprediction rate                 |      0.09% |      0.09% |      0.08% |      0.07% |      0.08% |      0.07% |      0.05% |      0.06%
  mpki                               |       0.21 |       0.21 |       0.19 |       0.16 |       0.19 |       0.16 |       0.12 |       0.14
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1247470 |    1232734 |    1657250 |    1696739 |    1605357 |    1686697 |    1834216 |    1581955
    num cache misses                 |         17 |         17 |         17 |         17 |         17 |         17 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1342545 |    1327834 |    1752353 |    1791801 |    1700452 |    1781759 |    1929276 |    1677017
    num cache misses                 |       7482 |       7026 |       8933 |       8792 |       7264 |       7221 |       7320 |       6241
    miss rate                        |      0.56% |      0.53% |      0.51% |      0.49% |      0.43% |      0.41% |      0.38% |      0.37%
    mpki                             |       2.85 |       2.71 |       2.60 |       2.50 |       2.18 |       2.06 |       1.93 |       1.90
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8771 |       7940 |       9798 |       9678 |       8351 |       8268 |       7989 |       7283
    num cache misses                 |       1865 |       1261 |       1661 |       1219 |       1868 |       1399 |        987 |        905
    miss rate                        |     21.26% |     15.88% |     16.95% |     12.60% |     22.37% |     16.92% |     12.35% |     12.43%
    mpki                             |       0.71 |       0.49 |       0.48 |       0.35 |       0.56 |       0.40 |       0.26 |       0.28
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2700 |       1722 |       2160 |       1688 |       2837 |       2213 |       1504 |       1712
    num cache misses                 |         24 |         12 |         12 |          9 |         10 |          9 |         12 |          9
    miss rate                        |      0.89% |      0.70% |      0.56% |      0.53% |      0.35% |      0.41% |      0.80% |      0.53%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     125.21 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      71.79 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          4 |          4 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
