                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   93338563 |   90858018 |   88074894 |   88672767 |   89071559 |   82886936 |   85679990 |   93104893 |   88850040 |   86827249 |   92190271 |   91888002 |   86816369 |   91078485 |   84996575 |   83615520
  Cycles                             |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685 |   52058685
  IPC                                |       1.79 |       1.75 |       1.69 |       1.70 |       1.71 |       1.59 |       1.65 |       1.79 |       1.71 |       1.67 |       1.77 |       1.77 |       1.67 |       1.75 |       1.63 |       1.61
  Time (ns)                          |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934 |   19570934
  Idle time (ns)                     |     101950 |     595886 |    1168298 |    1038835 |     959104 |    2188775 |    1632809 |     159863 |     997449 |    1394591 |     340175 |     411963 |    1430046 |     573675 |    1780407 |    2058072
  Idle time (%)                      |       0.5% |       3.0% |       6.0% |       5.3% |       4.9% |      11.2% |       8.3% |       0.8% |       5.1% |       7.1% |       1.7% |       2.1% |       7.3% |       2.9% |       9.1% |      10.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   23098482 |   22478388 |   21782532 |   21932061 |   22031681 |   20485621 |   21183865 |   23040000 |   21976299 |   21470658 |   22811341 |   22735787 |   21467978 |   22533458 |   21013000 |   20667708
  num incorrect                      |        899 |        869 |        944 |        877 |        951 |        861 |        889 |        973 |        964 |        910 |        973 |        959 |        873 |        912 |        895 |        924
  misprediction rate                 |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   46201696 |   44961472 |   43569897 |   43868826 |   44068198 |   40975918 |   42372469 |   46084873 |   43957474 |   42946087 |   45627554 |   45476422 |   42940665 |   45071676 |   42030736 |   41340220
    num cache misses                 |         15 |         16 |         16 |         17 |         17 |         17 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
