                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    6667247 |    6825717 |    7414863 |    6605817 |    5241711 |    6361281 |    4730306 |    6270465
  Cycles                             |   29230513 |   29230513 |   29230513 |   29230513 |   29230513 |   29230513 |   29230513 |   29230513
  IPC                                |       0.23 |       0.23 |       0.25 |       0.23 |       0.18 |       0.22 |       0.16 |       0.21
  Time (ns)                          |   10988915 |   10988915 |   10988915 |   10988915 |   10988915 |   10988915 |   10988915 |   10988915
  Idle time (ns)                     |      98402 |     723432 |     295295 |    1663749 |    2101370 |     184887 |    3720652 |     770078
  Idle time (%)                      |       0.9% |       6.6% |       2.7% |      15.1% |      19.1% |       1.7% |      33.9% |       7.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     988381 |    1014788 |    1112988 |     978170 |     750816 |     937417 |     665629 |     922272
  num incorrect                      |        168 |        177 |        168 |        145 |        148 |        142 |        101 |        151
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.03 |       0.03 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1983090 |    2035930 |    2232312 |    1962630 |    1507928 |    1881118 |    1337459 |    1850846
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3590654 |    3669900 |    3964473 |    3559950 |    2877897 |    3437682 |    2622193 |    3392274
    num cache misses                 |     499414 |     426575 |     452613 |     382866 |     309103 |     376008 |     251852 |     359659
    miss rate                        |     13.91% |     11.62% |     11.42% |     10.75% |     10.74% |     10.94% |      9.60% |     10.60%
    mpki                             |      74.91 |      62.50 |      61.04 |      57.96 |      58.97 |      59.11 |      53.24 |      57.36
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     499472 |     426636 |     452663 |     382918 |     309128 |     376029 |     251878 |     359683
    num cache misses                 |     227994 |     187903 |     192682 |     163617 |     185022 |     233625 |     138975 |     214677
    miss rate                        |     45.65% |     44.04% |     42.57% |     42.73% |     59.85% |     62.13% |     55.18% |     59.69%
    mpki                             |      34.20 |      27.53 |      25.99 |      24.77 |      35.30 |      36.73 |      29.38 |      34.24
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     228020 |     187933 |     192709 |     163644 |     185024 |     233627 |     138977 |     214679
    num cache misses                 |         25 |          3 |          3 |          3 |          4 |          4 |          4 |          4
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         48 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     122.58 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      69.15 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          3 |          2 |          2 |          2 |          4 |          2 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
