                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   10633829 |   10645650 |   10658856 |   10566114 |   10275023 |   10691172 |    8778505 |    9639960 |   10272294 |    7838088 |    8714616 |    8799917 |    9368490 |   10673694 |   10236907 |   10897902
  Cycles                             |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889 |   58178889
  IPC                                |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.18 |       0.15 |       0.17 |       0.18 |       0.13 |       0.15 |       0.15 |       0.16 |       0.18 |       0.18 |       0.19
  Time (ns)                          |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763 |   21871763
  Idle time (ns)                     |     101931 |     567657 |     417708 |     516880 |    1081808 |     298082 |    4136952 |    2265597 |    1134442 |    6484710 |    4842103 |    4369813 |    3462570 |     836096 |    1636171 |     662745
  Idle time (%)                      |       0.5% |       2.6% |       1.9% |       2.4% |       4.9% |       1.4% |      18.9% |      10.4% |       5.2% |      29.6% |      22.1% |      20.0% |      15.8% |       3.8% |       7.5% |       3.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1649530 |    1651500 |    1653695 |    1638214 |    1589726 |    1659073 |    1340307 |    1483879 |    1589275 |    1183563 |    1329647 |    1343872 |    1438651 |    1656144 |    1583396 |    1693520
  num incorrect                      |        116 |        122 |        124 |        148 |        121 |        132 |        121 |        124 |        117 |        128 |        132 |        124 |        107 |        148 |        103 |        140
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3305284 |    3309244 |    3313639 |    3282725 |    3185696 |    3324411 |    2686851 |    2974007 |    3184785 |    2373383 |    2665559 |    2693994 |    2883517 |    3318585 |    3172992 |    3393321
    num cache misses                 |         16 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         18 |         17 |         18
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5573945 |    5579866 |    5586464 |    5540093 |    5394552 |    5602622 |    4646285 |    5077016 |    5393183 |    4176080 |    4614344 |    4656999 |    4941281 |    5593883 |    5375491 |    5705987
    num cache misses                 |     438820 |     404099 |     403733 |     395764 |     379641 |     393450 |     313686 |     347616 |     419585 |     286003 |     314941 |     321961 |     335812 |     387668 |     368862 |     385164
    miss rate                        |      7.87% |      7.24% |      7.23% |      7.14% |      7.04% |      7.02% |      6.75% |      6.85% |      7.78% |      6.85% |      6.83% |      6.91% |      6.80% |      6.93% |      6.86% |      6.75%
    mpki                             |      41.27 |      37.96 |      37.88 |      37.46 |      36.95 |      36.80 |      35.73 |      36.06 |      40.85 |      36.49 |      36.14 |      36.59 |      35.84 |      36.32 |      36.03 |      35.34
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     438850 |     404145 |     403776 |     395818 |     379682 |     393494 |     313729 |     347659 |     419627 |     286049 |     314989 |     322003 |     335849 |     387721 |     368897 |     385215
    num cache misses                 |     438836 |     404116 |     403751 |     395782 |     379659 |     393468 |     313704 |     347634 |     419603 |     286021 |     314959 |     321979 |     335830 |     387686 |     368879 |     385182
    miss rate                        |    100.00% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |    100.00% |     99.99%
    mpki                             |      41.27 |      37.96 |      37.88 |      37.46 |      36.95 |      36.80 |      35.74 |      36.06 |      40.85 |      36.49 |      36.14 |      36.59 |      35.85 |      36.32 |      36.03 |      35.34
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     438850 |     404145 |     403776 |     395818 |     379682 |     393494 |     313729 |     347659 |     419627 |     286049 |     314989 |     322003 |     335849 |     387721 |     368897 |     385215
    num cache misses                 |     246832 |     235448 |     237223 |     239341 |     235691 |     242433 |     199978 |     223805 |     236631 |     164177 |     182612 |     189788 |     200781 |     237338 |     227432 |     241966
    miss rate                        |     56.25% |     58.26% |     58.75% |     60.47% |     62.08% |     61.61% |     63.74% |     64.37% |     56.39% |     57.39% |     57.97% |     58.94% |     59.78% |     61.21% |     61.65% |     62.81%
