                                     | Core 0     | Core 1    
  Instructions                       |     124696 |     127405
  Cycles                             |     321009 |     321009
  IPC                                |       0.39 |       0.40
  Time (ns)                          |     120680 |     120680
  Idle time (ns)                     |      97212 |      96809
  Idle time (%)                      |      80.6% |      80.2%
Branch predictor stats               |            |           
  num correct                        |      15621 |      16173
  num incorrect                      |        125 |        120
  misprediction rate                 |      0.79% |      0.74%
  mpki                               |       1.00 |       0.94
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      37487 |      38582
    num cache misses                 |         17 |         17
    miss rate                        |      0.05% |      0.04%
    mpki                             |       0.14 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      78244 |      79882
    num cache misses                 |       2483 |       2442
    miss rate                        |      3.17% |      3.06%
    mpki                             |      19.91 |      19.17
  Cache L2                           |            |           
    num cache accesses               |       2544 |       2546
    num cache misses                 |         17 |         14
    miss rate                        |      0.67% |      0.55%
    mpki                             |       0.14 |       0.11
  Cache L3                           |            |           
    num cache accesses               |         18 |         17
    num cache misses                 |         17 |         14
    miss rate                        |     94.44% |     82.35%
    mpki                             |       0.14 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |     105.13 |        inf
  average dram queueing delay        |      51.70 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          4 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
