                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     156133 |     207632 |     210357 |     192107 |     215741 |     202457 |     246913 |     204379
  Cycles                             |     991887 |     991887 |     991887 |     991887 |     991887 |     991887 |     991887 |     991887
  IPC                                |       0.16 |       0.21 |       0.21 |       0.19 |       0.22 |       0.20 |       0.25 |       0.21
  Time (ns)                          |     372890 |     372890 |     372890 |     372890 |     372890 |     372890 |     372890 |     372890
  Idle time (ns)                     |     153179 |     100213 |     105969 |     155043 |      99470 |     129942 |      99479 |     149038
  Idle time (%)                      |      41.1% |      26.9% |      28.4% |      41.6% |      26.7% |      34.8% |      26.7% |      40.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      21919 |      32210 |      32776 |      29099 |      33817 |      31161 |      40077 |      31575
  num incorrect                      |        115 |        125 |        104 |        131 |        139 |        139 |        115 |        114
  misprediction rate                 |      0.52% |      0.39% |      0.32% |      0.45% |      0.41% |      0.44% |      0.29% |      0.36%
  mpki                               |       0.74 |       0.60 |       0.49 |       0.68 |       0.64 |       0.69 |       0.47 |       0.56
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      50063 |      70672 |      71760 |      64460 |      73909 |      68600 |      86378 |      69377
    num cache misses                 |         17 |         18 |         18 |         18 |         18 |         18 |         18 |         18
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03% |      0.02% |      0.03% |      0.02% |      0.03%
    mpki                             |       0.11 |       0.09 |       0.09 |       0.09 |       0.08 |       0.09 |       0.07 |       0.09
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      97108 |     128017 |     129645 |     118695 |     132874 |     124905 |     151575 |     126069
    num cache misses                 |      11781 |      12246 |      12009 |      10231 |      12188 |      10916 |      12434 |      10064
    miss rate                        |     12.13% |      9.57% |      9.26% |      8.62% |      9.17% |      8.74% |      8.20% |      7.98%
    mpki                             |      75.45 |      58.98 |      57.09 |      53.26 |      56.49 |      53.92 |      50.36 |      49.24
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11894 |      12378 |      12121 |      10293 |      12264 |      11003 |      12519 |      10152
    num cache misses                 |       6188 |       6618 |       6417 |       5116 |       6720 |       5854 |       6409 |       5379
    miss rate                        |     52.03% |     53.47% |     52.94% |     49.70% |     54.79% |     53.20% |     51.19% |     52.98%
    mpki                             |      39.63 |      31.87 |      30.51 |      26.63 |      31.15 |      28.91 |      25.96 |      26.32
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       6241 |       6662 |       6475 |       5147 |       6744 |       5892 |       6441 |       5438
    num cache misses                 |         22 |         11 |         10 |         13 |          9 |          5 |         11 |          7
    miss rate                        |      0.35% |      0.17% |      0.15% |      0.25% |      0.13% |      0.08% |      0.17% |      0.13%
    mpki                             |       0.14 |       0.05 |       0.05 |       0.07 |       0.04 |       0.02 |       0.04 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         49 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     135.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      82.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          4 |          4 |          4 |          2 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
