                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    8629983 |    6619294 |    7430809 |    6634800 |    7289290 |    8899632 |    7230550 |    7580185 |    7071922 |    8394227 |    7986168 |    8105297 |    7853507 |    8345184 |    7772253 |    8404162
  Cycles                             |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987 |   58667987
  IPC                                |       0.15 |       0.11 |       0.13 |       0.11 |       0.12 |       0.15 |       0.12 |       0.13 |       0.12 |       0.14 |       0.14 |       0.14 |       0.13 |       0.14 |       0.13 |       0.14
  Time (ns)                          |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634 |   22055634
  Idle time (ns)                     |     388749 |    5359942 |    2518663 |    4792541 |    2628582 |     465844 |    2856454 |    2093552 |    2745205 |     747040 |    1062891 |     762124 |    1032919 |     369075 |     996252 |     101885
  Idle time (%)                      |       1.8% |      24.3% |      11.4% |      21.7% |      11.9% |       2.1% |      13.0% |       9.5% |      12.4% |       3.4% |       4.8% |       3.5% |       4.7% |       1.7% |       4.5% |       0.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1558219 |    1156156 |    1318435 |    1159209 |    1290138 |    1612141 |    1278348 |    1348267 |    1246641 |    1511071 |    1429453 |    1453296 |    1402940 |    1501317 |    1386670 |    1513074
  num incorrect                      |        185 |        118 |        142 |        164 |        133 |        200 |        175 |        183 |        158 |        184 |        189 |        178 |        176 |        135 |        189 |        167
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3122803 |    2318543 |    2643149 |    2324745 |    2586536 |    3230683 |    2563045 |    2702899 |    2499599 |    3028512 |    2865284 |    2912949 |    2812233 |    3008899 |    2779718 |    3032481
