                                     | Core 0    
  Instructions                       |      71039
  Cycles                             |     284988
  IPC                                |       0.25
  Time (ns)                          |     107139
  Idle time (ns)                     |      94724
  Idle time (%)                      |      88.4%
Branch predictor stats               |           
  num correct                        |       5008
  num incorrect                      |          6
  misprediction rate                 |      0.12%
  mpki                               |       0.08
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      13021
    num cache misses                 |         16
    miss rate                        |      0.12%
    mpki                             |       0.23
  Cache L1-D                         |           
    num cache accesses               |      45049
    num cache misses                 |          9
    miss rate                        |      0.02%
    mpki                             |       0.13
  Cache L2                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.35
  Cache L3                           |           
    num cache accesses               |         27
    num cache misses                 |         25
    miss rate                        |     92.59%
    mpki                             |       0.35
DRAM summary                         |           
  num dram accesses                  |         25
  average dram access latency (ns)   |     133.66
  average dram queueing delay        |      80.23
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
