                                     | Core 0     | Core 1    
  Instructions                       |    7314608 |    7699622
  Cycles                             |    6940378 |    6940378
  IPC                                |       1.05 |       1.11
  Time (ns)                          |    2609165 |    2609165
  Idle time (ns)                     |     170427 |      97758
  Idle time (%)                      |       6.5% |       3.7%
Branch predictor stats               |            |           
  num correct                        |    1592757 |    1689014
  num incorrect                      |        388 |        393
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.05 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3189252 |    3381780
    num cache misses                 |         17 |         16
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    3914327 |    4106843
    num cache misses                 |       2112 |       2259
    miss rate                        |      0.05% |      0.06%
    mpki                             |       0.29 |       0.29
  Cache L2                           |            |           
    num cache accesses               |       3117 |       3116
    num cache misses                 |         26 |         10
    miss rate                        |      0.83% |      0.32%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         28 |         12
    num cache misses                 |         26 |         10
    miss rate                        |     92.86% |     83.33%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      96.65 |        inf
  average dram queueing delay        |      43.22 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          6 |          2
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
