                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    4015698 |    5826376 |    5888112 |    5846396 |    5068347 |    5907956 |    5491619 |    5627477 |    5746989 |    4646892 |    5367209 |    5693310 |    5598748 |    5286158 |    4358618 |    5801245
  Cycles                             |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208 |    5372208
  IPC                                |       0.75 |       1.08 |       1.10 |       1.09 |       0.94 |       1.10 |       1.02 |       1.05 |       1.07 |       0.86 |       1.00 |       1.06 |       1.04 |       0.98 |       0.81 |       1.08
  Time (ns)                          |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627 |    2019627
  Idle time (ns)                     |     712734 |     113328 |     104295 |     127568 |     406747 |     101914 |     249097 |     203706 |     140234 |     519537 |     292202 |     150087 |     205015 |     292731 |     604902 |     145272
  Idle time (%)                      |      35.3% |       5.6% |       5.2% |       6.3% |      20.1% |       5.0% |      12.3% |      10.1% |       6.9% |      25.7% |      14.5% |       7.4% |      10.2% |      14.5% |      30.0% |       7.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     970512 |    1423026 |    1438477 |    1428076 |    1233617 |    1443441 |    1339449 |    1373314 |    1403212 |    1128250 |    1308320 |    1389817 |    1366188 |    1288008 |    1056251 |    1416823
  num incorrect                      |        410 |        560 |        551 |        521 |        464 |        538 |        463 |        558 |        540 |        476 |        481 |        506 |        500 |        528 |        412 |        484
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03%
  mpki                               |       0.10 |       0.10 |       0.09 |       0.09 |       0.09 |       0.09 |       0.08 |       0.10 |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10 |       0.09 |       0.08
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1944818 |    2850132 |    2881013 |    2860170 |    2471128 |    2890910 |    2682793 |    2750701 |    2810472 |    2260410 |    2620574 |    2783612 |    2736354 |    2580038 |    2116304 |    2837578
    num cache misses                 |         17 |         17 |         16 |         17 |         17 |         16 |         16 |         16 |         16 |         16 |         17 |         17 |         17 |         17 |         16 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2039875 |    2945211 |    2976088 |    2955225 |    2566198 |    2986004 |    2777842 |    2845768 |    2905529 |    2355475 |    2715639 |    2878686 |    2831410 |    2675112 |    2211346 |    2932655
    num cache misses                 |      12582 |      18953 |      18960 |      18610 |      15361 |      18754 |      17131 |      17594 |      18658 |      14458 |      16779 |      18330 |      17447 |      16606 |      13339 |      18174
    miss rate                        |      0.62% |      0.64% |      0.64% |      0.63% |      0.60% |      0.63% |      0.62% |      0.62% |      0.64% |      0.61% |      0.62% |      0.64% |      0.62% |      0.62% |      0.60% |      0.62%
    mpki                             |       3.13 |       3.25 |       3.22 |       3.18 |       3.03 |       3.17 |       3.12 |       3.13 |       3.25 |       3.11 |       3.13 |       3.22 |       3.12 |       3.14 |       3.06 |       3.13
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13729 |      20001 |      19989 |      19665 |      16454 |      19746 |      18125 |      18661 |      19774 |      15510 |      17832 |      19385 |      18488 |      17677 |      14402 |      19237
    num cache misses                 |      12599 |      18970 |      18976 |      18628 |      15379 |      18774 |      17150 |      17611 |      18674 |      14476 |      16796 |      18348 |      17465 |      16623 |      13355 |      18191
    miss rate                        |     91.77% |     94.85% |     94.93% |     94.73% |     93.47% |     95.08% |     94.62% |     94.37% |     94.44% |     93.33% |     94.19% |     94.65% |     94.47% |     94.04% |     92.73% |     94.56%
    mpki                             |       3.14 |       3.26 |       3.22 |       3.19 |       3.03 |       3.18 |       3.12 |       3.13 |       3.25 |       3.12 |       3.13 |       3.22 |       3.12 |       3.14 |       3.06 |       3.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13729 |      20001 |      19989 |      19665 |      16454 |      19746 |      18125 |      18661 |      19774 |      15510 |      17832 |      19385 |      18488 |      17677 |      14402 |      19237
    num cache misses                 |       7623 |      11616 |      11338 |      11293 |       9053 |      11079 |      10230 |      10705 |      11432 |       8370 |       9754 |      10997 |      10319 |       9619 |       7514 |      10908
    miss rate                        |     55.52% |     58.08% |     56.72% |     57.43% |     55.02% |     56.11% |     56.44% |     57.37% |     57.81% |     53.97% |     54.70% |     56.73% |     55.81% |     54.42% |     52.17% |     56.70%
    mpki                             |       1.90 |       1.99 |       1.93 |       1.93 |       1.79 |       1.88 |       1.86 |       1.90 |       1.99 |       1.80 |       1.82 |       1.93 |       1.84 |       1.82 |       1.72 |       1.88
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         72 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     123.09 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      69.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          2 |          2 |          3 |          3 |          3 |          3 |          3 |          2 |          2 |          2 |          2 |          2 |          2 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4771 |       7121 |       6940 |       6988 |       5730 |       6812 |       6338 |       6636 |       6797 |       4851 |       5710 |       6598 |       6179 |       5582 |       4304 |       6557
