                                     | Core 0     | Core 1    
  Instructions                       |     525755 |     544095
  Cycles                             |     703191 |     703191
  IPC                                |       0.75 |       0.77
  Time (ns)                          |     264358 |     264358
  Idle time (ns)                     |     101673 |      97694
  Idle time (%)                      |      38.5% |      37.0%
Branch predictor stats               |            |           
  num correct                        |      98343 |     102935
  num incorrect                      |        349 |        349
  misprediction rate                 |      0.35% |      0.34%
  mpki                               |       0.66 |       0.64
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     200369 |     209554
    num cache misses                 |         16 |         16
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |     295409 |     304587
    num cache misses                 |       1860 |       1759
    miss rate                        |      0.63% |      0.58%
    mpki                             |       3.54 |       3.23
  Cache L2                           |            |           
    num cache accesses               |       2645 |       2645
    num cache misses                 |         24 |         12
    miss rate                        |      0.91% |      0.45%
    mpki                             |       0.05 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         26 |         14
    num cache misses                 |         24 |         12
    miss rate                        |     92.31% |     85.71%
    mpki                             |       0.05 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         29 |          0
  average dram access latency (ns)   |      96.69 |        inf
  average dram queueing delay        |      43.26 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
