                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     228984 |     231980 |     223577 |     210408
  Cycles                             |     389247 |     389247 |     389247 |     389247
  IPC                                |       0.59 |       0.60 |       0.57 |       0.54
  Time (ns)                          |     146334 |     146334 |     146334 |     146334
  Idle time (ns)                     |      98750 |      98140 |     101187 |     101409
  Idle time (%)                      |      67.5% |      67.1% |      69.1% |      69.3%
Branch predictor stats               |            |            |            |           
  num correct                        |      44534 |      45283 |      43219 |      39839
  num incorrect                      |        217 |        212 |        187 |        274
  misprediction rate                 |      0.48% |      0.47% |      0.43% |      0.68%
  mpki                               |       0.95 |       0.91 |       0.84 |       1.30
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      92490 |      93975 |      89805 |      83215
    num cache misses                 |         16 |         16 |         17 |         17
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.07 |       0.08 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     124519 |     126017 |     121828 |     115244
    num cache misses                 |       3354 |       2821 |       3032 |       2696
    miss rate                        |      2.69% |      2.24% |      2.49% |      2.34%
    mpki                             |      14.65 |      12.16 |      13.56 |      12.81
  Cache L2                           |            |            |            |           
    num cache accesses               |       4141 |       3441 |       3874 |       3431
    num cache misses                 |         20 |         10 |          4 |          3
    miss rate                        |      0.48% |      0.29% |      0.10% |      0.09%
    mpki                             |       0.09 |       0.04 |       0.02 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |         12 |          6 |          5
    num cache misses                 |         20 |         10 |          4 |          3
    miss rate                        |     90.91% |     83.33% |     66.67% |     60.00%
    mpki                             |       0.09 |       0.04 |       0.02 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         36 |          0 |          0 |          0
  average dram access latency (ns)   |     135.66 |        inf |        inf |        inf
  average dram queueing delay        |      82.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          3 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
