                                     | Core 0    
  Instructions                       |     212039
  Cycles                             |     554315
  IPC                                |       0.38
  Time (ns)                          |     208389
  Idle time (ns)                     |      95583
  Idle time (%)                      |      45.9%
Branch predictor stats               |           
  num correct                        |      20005
  num incorrect                      |          9
  misprediction rate                 |      0.04%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15020
    num cache misses                 |         19
    miss rate                        |      0.13%
    mpki                             |       0.09
  Cache L1-D                         |           
    num cache accesses               |     133049
    num cache misses                 |         13
    miss rate                        |      0.01%
    mpki                             |       0.06
  Cache L2                           |           
    num cache accesses               |         34
    num cache misses                 |         32
    miss rate                        |     94.12%
    mpki                             |       0.15
  Cache L3                           |           
    num cache accesses               |         34
    num cache misses                 |         32
    miss rate                        |     94.12%
    mpki                             |       0.15
DRAM summary                         |           
  num dram accesses                  |         31
  average dram access latency (ns)   |     118.62
  average dram queueing delay        |      65.19
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          9
  num loads from dram cache          |          0
  num loads from remote cache        |          0
