                                     | Core 0     | Core 1    
  Instructions                       |    1399642 |    1400612
  Cycles                             |   12171002 |   12171002
  IPC                                |       0.11 |       0.12
  Time (ns)                          |    4575565 |    4575565
  Idle time (ns)                     |    3227343 |    3229231
  Idle time (%)                      |      70.5% |      70.6%
Branch predictor stats               |            |           
  num correct                        |     110730 |     110921
  num incorrect                      |        168 |        173
  misprediction rate                 |      0.15% |      0.16%
  mpki                               |       0.12 |       0.12
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17351 |      16955
    num cache misses                 |         23 |         22
    miss rate                        |      0.13% |      0.13%
    mpki                             |       0.02 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |     945144 |     945536
    num cache misses                 |       1832 |       1895
    miss rate                        |      0.19% |      0.20%
    mpki                             |       1.31 |       1.35
  Cache L2                           |            |           
    num cache accesses               |       1992 |       1991
    num cache misses                 |         34 |         13
    miss rate                        |      1.71% |      0.65%
    mpki                             |       0.02 |       0.01
  Cache L3                           |            |           
    num cache accesses               |         36 |         15
    num cache misses                 |         34 |         13
    miss rate                        |     94.44% |     86.67%
    mpki                             |       0.02 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         39 |          0
  average dram access latency (ns)   |      92.47 |        inf
  average dram queueing delay        |      39.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          9 |          3
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
