                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1404646 |    1401832 |    1400632 |    1402312 |    1402600 |    1402276 |    1402516 |    1399039 |    1402240 |    1404903 |    1402291 |    1403224 |    1400908 |    1403863 |    1403707 |    1402348
  Cycles                             |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151 |  102185151
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470 |   38415470
  Idle time (ns)                     |   36977640 |   36986196 |   36995558 |   36988812 |   36989440 |   36986369 |   36986147 |   36998612 |   36999372 |   36996820 |   37001473 |   36997598 |   37006283 |   36995658 |   36998178 |   36995793
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110906 |     110698 |     110603 |     110669 |     110713 |     110762 |     110667 |     110457 |     110694 |     110905 |     110752 |     110825 |     110613 |     110795 |     110811 |     110779
  num incorrect                      |        409 |        383 |        378 |        452 |        432 |        356 |        471 |        391 |        421 |        441 |        366 |        372 |        391 |        455 |        426 |        345
  misprediction rate                 |      0.37% |      0.34% |      0.34% |      0.41% |      0.39% |      0.32% |      0.42% |      0.35% |      0.38% |      0.40% |      0.33% |      0.33% |      0.35% |      0.41% |      0.38% |      0.31%
  mpki                               |       0.29 |       0.27 |       0.27 |       0.32 |       0.31 |       0.25 |       0.34 |       0.28 |       0.30 |       0.31 |       0.26 |       0.27 |       0.28 |       0.32 |       0.30 |       0.25
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      17479 |      17496 |      17484 |      17548 |      17552 |      17432 |      17580 |      17524 |      17536 |      17499 |      17456 |      17480 |      17508 |      17568 |      17568 |      17404
    num cache misses                 |         23 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     946106 |     945649 |     945437 |     945781 |     945833 |     945659 |     945847 |     945211 |     945757 |     946216 |     945690 |     945865 |     945507 |     946059 |     946033 |     945643
    num cache misses                 |       2652 |       2348 |       2193 |       2347 |       2370 |       2408 |       2407 |       2067 |       2238 |       2393 |       2214 |       2311 |       2087 |       2359 |       2296 |       2281
    miss rate                        |      0.28% |      0.25% |      0.23% |      0.25% |      0.25% |      0.25% |      0.25% |      0.22% |      0.24% |      0.25% |      0.23% |      0.24% |      0.22% |      0.25% |      0.24% |      0.24%
    mpki                             |       1.89 |       1.67 |       1.57 |       1.67 |       1.69 |       1.72 |       1.72 |       1.48 |       1.60 |       1.70 |       1.58 |       1.65 |       1.49 |       1.68 |       1.64 |       1.63
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2953 |       2637 |       2511 |       2669 |       2705 |       2719 |       2740 |       2397 |       2647 |       2882 |       2674 |       2771 |       2560 |       2803 |       2773 |       2678
    num cache misses                 |       2675 |       2372 |       2217 |       2371 |       2394 |       2432 |       2431 |       2091 |       2262 |       2417 |       2238 |       2335 |       2111 |       2383 |       2320 |       2305
    miss rate                        |     90.59% |     89.95% |     88.29% |     88.83% |     88.50% |     89.44% |     88.72% |     87.23% |     85.46% |     83.87% |     83.69% |     84.27% |     82.46% |     85.02% |     83.66% |     86.07%
    mpki                             |       1.90 |       1.69 |       1.58 |       1.69 |       1.71 |       1.73 |       1.73 |       1.49 |       1.61 |       1.72 |       1.60 |       1.66 |       1.51 |       1.70 |       1.65 |       1.64
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       2953 |       2637 |       2511 |       2669 |       2705 |       2719 |       2740 |       2397 |       2647 |       2882 |       2674 |       2771 |       2560 |       2803 |       2773 |       2678
    num cache misses                 |       1759 |       1383 |       1281 |       1363 |       1422 |       1472 |       1429 |       1192 |       1290 |       1345 |       1260 |       1272 |       1185 |       1237 |       1219 |       1269
    miss rate                        |     59.57% |     52.45% |     51.02% |     51.07% |     52.57% |     54.14% |     52.15% |     49.73% |     48.73% |     46.67% |     47.12% |     45.90% |     46.29% |     44.13% |     43.96% |     47.39%
    mpki                             |       1.25 |       0.99 |       0.91 |       0.97 |       1.01 |       1.05 |       1.02 |       0.85 |       0.92 |       0.96 |       0.90 |       0.91 |       0.85 |       0.88 |       0.87 |       0.90
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         97 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     154.66 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     101.23 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
